lam,Gavg
5.14E-07,0.016574373
5.14E-07,0.016600723
5.15E-07,0.016609658
5.15E-07,0.016583404
5.16E-07,0.01655328
5.16E-07,0.016537758
5.17E-07,0.016647253
5.17E-07,0.016685144
5.18E-07,0.016636649
5.18E-07,0.016659399
5.19E-07,0.016642815
5.19E-07,0.016689189
5.20E-07,0.016811941
5.20E-07,0.016764682
5.21E-07,0.016736018
5.21E-07,0.016766636
5.22E-07,0.016851649
5.22E-07,0.016822725
5.23E-07,0.016921736
5.23E-07,0.016832297
5.24E-07,0.016840605
5.24E-07,0.017043194
5.25E-07,0.016960351
5.25E-07,0.016955155
5.26E-07,0.017121347
5.26E-07,0.017059355
5.27E-07,0.017107474
5.27E-07,0.017206837
5.28E-07,0.01721596
5.28E-07,0.017293217
5.29E-07,0.017291119
5.29E-07,0.01743659
5.30E-07,0.017452737
5.30E-07,0.017484697
5.31E-07,0.017423236
5.31E-07,0.017532489
5.32E-07,0.017618891
5.32E-07,0.017654495
5.33E-07,0.017689586
5.33E-07,0.017723671
5.34E-07,0.017670087
5.34E-07,0.01780139
5.35E-07,0.017874524
5.35E-07,0.017908454
5.36E-07,0.017929791
5.36E-07,0.018027652
5.37E-07,0.0180866
5.37E-07,0.018088838
5.38E-07,0.018119497
5.38E-07,0.018188748
5.39E-07,0.018215391
5.39E-07,0.018324587
5.40E-07,0.018301112
5.40E-07,0.018310102
5.41E-07,0.018410983
5.41E-07,0.018357301
5.42E-07,0.018442743
5.42E-07,0.018494813
5.43E-07,0.018554229
5.43E-07,0.018628716
5.44E-07,0.018702729
5.44E-07,0.018722509
5.45E-07,0.018773964
5.45E-07,0.018864299
5.46E-07,0.018879043
5.46E-07,0.018907699
5.47E-07,0.01892924
5.47E-07,0.01894953
5.48E-07,0.018994575
5.48E-07,0.01902628
5.49E-07,0.019172495
5.49E-07,0.019166815
5.50E-07,0.019241851
5.50E-07,0.01932
5.51E-07,0.019210974
5.51E-07,0.019388492
5.52E-07,0.019388861
5.52E-07,0.019458022
5.53E-07,0.019498251
5.53E-07,0.019489254
5.54E-07,0.019547226
5.54E-07,0.019637709
5.55E-07,0.019560175
5.55E-07,0.019675184
5.56E-07,0.019817847
5.56E-07,0.01978406
5.57E-07,0.019830526
5.57E-07,0.019918761
5.58E-07,0.02003963
5.58E-07,0.020168211
5.59E-07,0.020181773
5.59E-07,0.020296219
5.60E-07,0.020170855
5.60E-07,0.020202395
5.61E-07,0.020357053
5.61E-07,0.020457808
5.62E-07,0.020478658
5.62E-07,0.020423017
5.63E-07,0.020554156
5.63E-07,0.020575826
5.64E-07,0.020632454
5.64E-07,0.020637802
5.65E-07,0.020622899
5.65E-07,0.020697517
5.66E-07,0.020746116
5.66E-07,0.020792534
5.67E-07,0.020812566
5.67E-07,0.02083472
5.68E-07,0.020793172
5.68E-07,0.020814371
5.69E-07,0.02077486
5.69E-07,0.020683596
5.70E-07,0.0207778
5.70E-07,0.020686653
5.71E-07,0.020714213
5.71E-07,0.020671698
5.72E-07,0.020606232
5.72E-07,0.020551725
5.73E-07,0.020611566
5.73E-07,0.020527322
5.74E-07,0.020571085
5.74E-07,0.020593499
5.75E-07,0.020603277
5.75E-07,0.020696817
5.76E-07,0.020714904
5.76E-07,0.020881699
5.77E-07,0.02090599
5.77E-07,0.020995959
5.78E-07,0.021178677
5.78E-07,0.021296594
5.79E-07,0.021484728
5.79E-07,0.021599408
5.80E-07,0.021676833
5.80E-07,0.021864373
5.81E-07,0.021999634
5.81E-07,0.022112636
5.82E-07,0.022337753
5.82E-07,0.022453271
5.83E-07,0.022583843
5.83E-07,0.022774341
5.84E-07,0.022918735
5.84E-07,0.022974719
5.85E-07,0.023226636
5.85E-07,0.023356204
5.86E-07,0.02356902
5.86E-07,0.023684161
5.87E-07,0.023771379
5.87E-07,0.023984893
5.88E-07,0.024114193
5.88E-07,0.024239799
5.89E-07,0.024359941
5.89E-07,0.024456566
5.90E-07,0.024646912
5.90E-07,0.024803136
5.91E-07,0.024808617
5.91E-07,0.024956991
5.92E-07,0.02510014
5.92E-07,0.025193082
5.93E-07,0.025250161
5.93E-07,0.025300871
5.94E-07,0.025366602
5.94E-07,0.025497699
5.95E-07,0.025539053
5.95E-07,0.025653152
5.96E-07,0.02564352
5.96E-07,0.025767483
5.97E-07,0.025770571
5.97E-07,0.025756329
5.98E-07,0.025891281
5.98E-07,0.026067387
5.99E-07,0.025996167
5.99E-07,0.0259318
6.00E-07,0.026025778
6.00E-07,0.026050425
6.01E-07,0.026040258
6.01E-07,0.026027747
6.02E-07,0.0259981
6.02E-07,0.025999939
6.03E-07,0.026025665
6.03E-07,0.025988813
6.04E-07,0.025990114
6.04E-07,0.025956698
6.05E-07,0.025884084
6.05E-07,0.025841474
6.06E-07,0.025801278
6.06E-07,0.025824468
6.07E-07,0.02572037
6.07E-07,0.025740635
6.08E-07,0.025764961
6.08E-07,0.025786107
6.09E-07,0.025771402
6.09E-07,0.025805397
6.10E-07,0.025814137
6.10E-07,0.025876761
6.11E-07,0.02590557
6.11E-07,0.02608562
6.12E-07,0.026060762
6.12E-07,0.026224663
6.13E-07,0.026327338
6.13E-07,0.026513114
6.14E-07,0.026548862
6.14E-07,0.026562817
6.15E-07,0.026901023
6.15E-07,0.027113866
6.16E-07,0.027354426
6.16E-07,0.027521008
6.17E-07,0.027619792
6.17E-07,0.027877619
6.18E-07,0.028110197
6.18E-07,0.028345569
6.19E-07,0.028550528
6.19E-07,0.028782703
6.20E-07,0.028998201
6.20E-07,0.029257342
6.21E-07,0.029531727
6.21E-07,0.02969937
6.22E-07,0.029838402
6.22E-07,0.030046125
6.23E-07,0.03037869
6.23E-07,0.030719038
6.24E-07,0.030888965
6.24E-07,0.031012755
6.25E-07,0.031328417
6.25E-07,0.031455245
6.26E-07,0.031703112
6.26E-07,0.031923933
6.27E-07,0.032149939
6.27E-07,0.032340083
6.28E-07,0.032557296
6.28E-07,0.032808285
6.29E-07,0.033045847
6.29E-07,0.033230843
6.30E-07,0.033341969
6.30E-07,0.033613248
6.31E-07,0.033874786
6.31E-07,0.033994716
6.32E-07,0.034255056
6.32E-07,0.034263681
6.33E-07,0.034621693
6.33E-07,0.034894897
6.34E-07,0.035010537
6.34E-07,0.035135966
6.35E-07,0.035423842
6.35E-07,0.035638525
6.36E-07,0.035779967
6.36E-07,0.035806307
6.37E-07,0.036187002
6.37E-07,0.03643079
6.38E-07,0.036620404
6.38E-07,0.036742325
6.39E-07,0.036997713
6.39E-07,0.037179305
6.40E-07,0.037183403
6.40E-07,0.0376122
6.41E-07,0.037747763
6.41E-07,0.037912257
6.42E-07,0.038074172
6.42E-07,0.038304229
6.43E-07,0.038489679
6.43E-07,0.038635689
6.44E-07,0.038864571
6.44E-07,0.038998762
6.45E-07,0.039151034
6.45E-07,0.03954576
6.46E-07,0.039646262
6.46E-07,0.039766277
6.47E-07,0.03995118
6.47E-07,0.040244034
6.48E-07,0.040309206
6.48E-07,0.040687076
6.49E-07,0.040829185
6.49E-07,0.041035094
6.50E-07,0.04120706
6.50E-07,0.041461377
6.51E-07,0.041615853
6.51E-07,0.041891368
6.52E-07,0.041999609
6.52E-07,0.04222869
6.53E-07,0.042490298
6.53E-07,0.042587806
6.54E-07,0.042816453
6.54E-07,0.043054958
6.55E-07,0.043231072
6.55E-07,0.043470137
6.56E-07,0.043630801
6.56E-07,0.043711287
6.57E-07,0.044044553
6.57E-07,0.044181505
6.58E-07,0.044457021
6.58E-07,0.044597858
6.59E-07,0.04489376
6.59E-07,0.045123934
6.60E-07,0.045202659
6.60E-07,0.045570095
6.61E-07,0.045781309
6.61E-07,0.045948372
6.62E-07,0.046207969
6.62E-07,0.046373406
6.63E-07,0.046684643
6.63E-07,0.046841397
6.64E-07,0.046999083
6.64E-07,0.047382463
6.65E-07,0.047653475
6.65E-07,0.047749671
6.66E-07,0.047948897
6.66E-07,0.04830148
6.67E-07,0.048433402
6.67E-07,0.048750867
6.68E-07,0.048892853
6.68E-07,0.049350178
6.69E-07,0.049517043
6.69E-07,0.049713908
6.70E-07,0.050010213
6.70E-07,0.050292219
6.71E-07,0.050530448
6.71E-07,0.050609015
6.72E-07,0.050915313
6.72E-07,0.051394418
6.73E-07,0.051482266
6.73E-07,0.051825977
6.74E-07,0.052129799
6.74E-07,0.052423261
6.75E-07,0.052675301
6.75E-07,0.053104724
