lam,Gavg
5.73E-07,0.030011918
5.73E-07,0.029969645
5.74E-07,0.029951305
5.74E-07,0.029956471
5.75E-07,0.029971875
5.75E-07,0.030026299
5.76E-07,0.03009093
5.76E-07,0.030170601
5.77E-07,0.030279369
5.77E-07,0.030411307
5.78E-07,0.030544066
5.78E-07,0.030707609
5.79E-07,0.030877558
5.79E-07,0.031054998
5.80E-07,0.031240376
5.80E-07,0.031429862
5.81E-07,0.031626016
5.81E-07,0.031815354
5.82E-07,0.032021797
5.82E-07,0.032211256
5.83E-07,0.032426036
5.83E-07,0.032611878
5.84E-07,0.032810526
5.84E-07,0.033006511
5.85E-07,0.033201179
5.85E-07,0.033407486
5.86E-07,0.033595007
5.86E-07,0.033770362
5.87E-07,0.03396806
5.87E-07,0.034162304
5.88E-07,0.034355137
5.88E-07,0.034529065
5.89E-07,0.034709542
5.89E-07,0.034884899
5.90E-07,0.035039206
5.90E-07,0.035206123
5.91E-07,0.035365918
5.91E-07,0.035504917
5.92E-07,0.035627605
5.92E-07,0.035727364
5.93E-07,0.035825961
5.93E-07,0.035934091
5.94E-07,0.036011856
5.94E-07,0.036109806
5.95E-07,0.036186111
5.95E-07,0.036237525
5.96E-07,0.036270602
5.96E-07,0.03633018
5.97E-07,0.036384291
5.97E-07,0.036416608
5.98E-07,0.036431512
5.98E-07,0.036453462
5.99E-07,0.036444058
5.99E-07,0.036442246
6.00E-07,0.036443596
6.00E-07,0.036442705
6.01E-07,0.036415118
6.01E-07,0.036380899
6.02E-07,0.03635548
6.02E-07,0.036318721
6.03E-07,0.036270784
6.03E-07,0.036226123
6.04E-07,0.036150306
6.04E-07,0.036061243
6.05E-07,0.035975745
6.05E-07,0.035877773
6.06E-07,0.035784809
6.06E-07,0.035687517
6.07E-07,0.035606192
6.07E-07,0.035529198
6.08E-07,0.035455117
6.08E-07,0.035399325
6.09E-07,0.035357946
6.09E-07,0.035364501
6.10E-07,0.035372516
6.10E-07,0.035403203
6.11E-07,0.035449223
6.11E-07,0.035526576
6.12E-07,0.03562239
6.12E-07,0.035728082
6.13E-07,0.035862648
6.13E-07,0.03602449
6.14E-07,0.036200525
6.14E-07,0.03640648
6.15E-07,0.036616157
6.15E-07,0.036855236
6.16E-07,0.03709925
6.16E-07,0.037339464
6.17E-07,0.03760558
6.17E-07,0.03788519
6.18E-07,0.038174264
6.18E-07,0.038469111
6.19E-07,0.038760142
6.19E-07,0.039068314
6.20E-07,0.039372862
6.20E-07,0.039652559
6.21E-07,0.03994836
6.21E-07,0.040268807
6.22E-07,0.040559384
6.22E-07,0.040836865
6.23E-07,0.041118814
6.23E-07,0.041411163
6.24E-07,0.041724573
6.24E-07,0.042035825
6.25E-07,0.042357418
6.25E-07,0.042671815
6.26E-07,0.042965531
6.26E-07,0.043265743
6.27E-07,0.043563843
6.27E-07,0.043858367
6.28E-07,0.04412753
6.28E-07,0.044357055
6.29E-07,0.044573894
6.29E-07,0.044799257
6.30E-07,0.045048894
6.30E-07,0.045285239
6.31E-07,0.045534345
6.31E-07,0.045815409
6.32E-07,0.046049564
6.32E-07,0.046274972
6.33E-07,0.046512231
6.33E-07,0.046751639
